Date,Open,High,Low,Close,Adj Close,Volume,Days
2015-07-28,20,20.049999,19.68,20.049999,19.162251,159900,0
2015-07-29,19.92,20.049999,19.700001,19.948,19.064768,153600,1
2015-07-30,20.139999,20.139999,19.75,20.01,19.124023,130000,2
2015-07-31,20.110001,20.129999,19.955,19.959999,19.076237,200200,3
2015-08-03,19.940001,19.940001,19.6,19.799999,18.923313,77700,4
2015-08-04,19.66,19.93,19.66,19.790001,18.913765,90700,5
2015-08-05,20.02,20.219999,19.966999,20.059999,19.17181,124300,6
2015-08-06,20.129999,20.129999,19.48,19.57,18.703503,131400,7
2015-08-07,19.73,19.74,19.440001,19.646,18.77614,124200,8
2015-08-10,19.9,20.059,19.84,20.049999,19.162251,93200,9
2015-08-11,19.85,19.9,19.48,19.610001,18.741734,101600,10
2015-08-12,19.5,19.51,19.073999,19.459999,18.598379,115300,11
2015-08-13,19.559999,19.67,19.469999,19.549999,18.684387,96000,12
2015-08-14,19.620001,19.65,19.493999,19.639999,18.770405,100300,13
2015-08-17,19.610001,19.799999,19.481001,19.77,18.894646,97900,14
2015-08-18,19.83,19.83,19.559999,19.579,18.712103,67800,15
2015-08-19,19.549999,19.589001,19.360001,19.459999,18.598379,90700,16
2015-08-20,19.34,19.34,18.540001,18.540001,17.71911,142700,17
2015-08-21,18.34,18.48,17.93,18.049999,17.250807,207100,18
2015-08-24,16.719999,17.969999,16.02,17.360001,16.591352,360500,19
2015-08-25,18.16,18.424,17.41,17.43,16.658253,124500,20
2015-08-26,17.889999,17.959999,17.280001,17.84,17.050104,189700,21
2015-08-27,18.09,18.120001,17.735001,18.02,17.222126,196300,22
2015-08-28,17.98,18.15,17.950001,18.040001,17.241243,73500,23
2015-08-31,18.049999,18.07,17.799999,17.848,17.057743,74700,24
2015-09-01,17.43,17.68,17.245001,17.299999,16.53401,85700,25
2015-09-02,17.6,17.65,17.245001,17.549999,16.77294,33000,26
2015-09-03,17.73,17.790001,17.528,17.559999,16.782503,60300,27
2015-09-04,17.389999,17.459999,17.200001,17.26,16.495785,94000,28
2015-09-08,17.6,17.700001,17.43,17.690001,16.906742,35600,29
2015-09-09,17.879999,17.879999,17.440001,17.459999,16.686932,58100,30
2015-09-10,17.57,17.68,17.41,17.549999,16.77294,84100,31
2015-09-11,17.58,17.629999,17.41,17.629999,16.8494,37700,32
2015-09-14,17.549999,17.65,17.475,17.59,16.811174,64100,33
2015-09-15,17.450001,17.780001,17.450001,17.742001,16.956442,61000,34
2015-09-16,17.82,17.889999,17.68,17.886999,17.095022,56400,35
2015-09-17,17.91,18.149,17.851999,17.9,17.107445,37900,36
2015-09-18,17.73,17.92,17.690001,17.83,17.040546,57200,37
2015-09-21,17.959999,18.08,17.75,17.809999,17.021433,73900,38
2015-09-22,17.610001,17.65,17.370001,17.530001,16.753824,85400,39
2015-09-23,17.66,17.66,17.4,17.555,16.777719,42000,40
2015-09-24,17.4,17.549999,17.190001,17.540001,16.763384,38400,41
2015-09-25,17.799999,17.804001,17.370001,17.42,16.648699,66200,42
2015-09-28,17.34,17.450001,16.860001,16.950001,16.199511,93800,43
2015-09-29,17.08,17.08,16.639999,16.767,16.024609,119000,44
2015-09-30,17.09,17.209999,16.93,17.209999,16.44799,35500,45
2015-10-01,17.299999,17.299999,16.66,17.209999,16.44799,51900,46
2015-10-02,17.040001,17.559999,16.950001,17.51,16.734715,41700,47
2015-10-05,17.540001,17.84,17.540001,17.799999,17.011869,31700,48
2015-10-06,17.84,17.879999,17.594,17.76,16.973648,28400,49
2015-10-07,17.940001,18.01,17.67,17.93,17.136116,34000,50
2015-10-08,17.99,17.99,17.77,17.93,17.136116,38200,51
2015-10-09,18,18.059999,17.91,17.99,17.193459,87000,52
2015-10-12,18.07,18.07,17.809999,17.91,17.116999,31300,53
2015-10-13,17.860001,17.870001,17.580999,17.59,16.811174,33200,54
2015-10-14,17.65,17.693001,17.389999,17.52,16.744274,34000,55
2015-10-15,17.639999,17.9,17.629999,17.879999,17.088337,77100,56
2015-10-16,17.969999,17.969999,17.809999,17.951,17.156185,33300,57
2015-10-19,17.93,18.15,17.898001,18.02,17.222126,177700,58
2015-10-20,18.030001,18.030001,17.82,17.9,17.107445,95300,59
2015-10-21,17.93,17.93,17.41,17.450001,16.677374,72600,60
2015-10-22,17.690001,17.99,17.690001,17.91,17.116999,60400,61
2015-10-23,17.92,17.92,17.632,17.77,16.983206,112900,62
2015-10-26,17.75,17.878,17.686001,17.77,16.983206,40900,63
2015-10-27,17.73,17.780001,17.57,17.709999,16.925861,72100,64
2015-10-28,17.73,18.1,17.559999,18.1,17.298592,94900,65
2015-10-29,17.93,17.93,17.68,17.75,16.964088,126700,66
2015-10-30,17.889999,18.049999,17.889999,17.99,17.193459,69200,67
2015-11-02,18.030001,18.280001,18,18.209999,17.403721,71400,68
2015-11-03,18.16,18.379999,18.031,18.27,17.461063,69000,69
2015-11-04,18.309999,18.49,18.305,18.35,17.537525,105700,70
2015-11-05,18.190001,18.190001,17.85,17.91,17.116999,79400,71
2015-11-06,17.940001,18.200001,17.865,18.16,17.355932,53800,72
2015-11-09,18.17,18.17,17.82,17.940001,17.145674,67600,73
2015-11-10,17.85,17.93,17.65,17.780001,16.992764,98300,74
2015-11-11,17.940001,17.940001,17.655001,17.782,16.994671,51200,75
2015-11-12,17.732,17.98,17.716999,17.799999,17.011869,61200,76
2015-11-13,17.709999,17.709999,17.450001,17.49,16.715605,37700,77
2015-11-16,17.57,17.799999,17.561001,17.780001,16.992764,58200,78
2015-11-17,17.790001,17.979,17.780001,17.84,17.050104,37200,79
2015-11-18,17.92,18.079,17.82,18.018,17.220221,35300,80
2015-11-19,18.139999,18.290001,18.128,18.25,17.441957,38100,81
2015-11-20,18.299999,18.34,18.200001,18.26,17.451509,73400,82
2015-11-23,18.299999,18.299999,18.184999,18.200001,17.394169,42200,83
2015-11-24,18.17,18.424999,18.15,18.356001,17.543255,78500,84
2015-11-25,18.459999,18.549999,18.4,18.49,17.671326,88700,85
2015-11-27,18.57,18.636,18.48,18.6,17.776449,17600,86
2015-11-30,18.83,18.92,18.57,18.639999,17.814684,73100,87
2015-12-01,18.889999,18.950001,18.77,18.9,18.063173,42000,88
2015-12-02,18.940001,18.99,18.780001,18.809999,17.977152,47900,89
2015-12-03,18.870001,18.870001,18.348,18.370001,17.556639,47800,90
2015-12-04,18.440001,18.629999,18.336,18.58,17.757341,26600,91
2015-12-07,18.559999,18.601,18.308001,18.379999,17.566196,69600,92
2015-12-08,18.24,18.507999,18.209999,18.42,17.604422,85100,93
2015-12-09,18.379999,18.459999,18.07,18.15,17.346378,52400,94
2015-12-10,18.190001,18.32,18.139999,18.139999,17.336821,30300,95
2015-12-11,18,18.049999,17.701,17.76,16.973648,43400,96
2015-12-14,17.709999,17.745001,17.41,17.639999,16.858955,74400,97
2015-12-15,17.75,18,17.75,17.91,17.116999,55000,98
2015-12-16,18.049999,18.209999,17.92,18.18,17.37505,27800,99
2015-12-17,18.209999,18.219999,17.931,17.969999,17.174345,27700,100
2015-12-18,17.9,18.02,17.798,17.82,17.030987,38700,101
2015-12-21,17.809999,17.870001,17.68,17.780001,16.992764,49400,102
2015-12-22,17.860001,17.9,17.77,17.84,17.050104,79200,103
2015-12-23,17.889999,18.02,17.83,18.01,17.312527,34100,104
2015-12-24,17.969999,18.059999,17.959999,18.02,17.322142,12300,105
2015-12-28,17.93,17.940001,17.74,17.889999,17.197172,50700,106
2015-12-29,18.07,18.110001,17.940001,18.040001,17.341373,53000,107
2015-12-30,18.059999,18.120001,17.950001,17.969999,17.274076,48000,108
2015-12-31,17.860001,17.93,17.73,17.76,17.072212,58000,109
2016-01-04,17.5,17.52,17.209999,17.49,16.812672,108100,110
2016-01-05,17.58,17.591999,17.370001,17.43,16.754986,39600,111
2016-01-06,17.219999,17.290001,16.98,17.09,16.428162,73800,112
2016-01-07,16.879999,16.959999,16.59,16.67,16.02442,86600,113
2016-01-08,16.73,16.75,16.389999,16.403999,15.768729,45800,114
2016-01-11,16.440001,16.450001,16.09,16.34,15.707203,46500,115
2016-01-12,16.549999,16.656,16.183001,16.469999,15.832169,41300,116
2016-01-13,16.639999,16.82,16.105,16.24,15.611077,53500,117
2016-01-14,16.200001,16.540001,15.9,16.41,15.774491,43700,118
2016-01-15,15.96,16.040001,15.63,15.98,15.361145,119600,119
2016-01-19,15.97,16.15,15.58,15.79,15.178504,74800,120
2016-01-20,15.51,15.716,15.01,15.63,15.024697,108400,121
2016-01-21,15.75,15.947,15.57,15.67,15.063151,28700,122
2016-01-22,15.98,16.110001,15.89,16.09,15.466886,64500,123
2016-01-25,15.93,16.049,15.68,15.68,15.072762,37100,124
2016-01-26,15.72,15.91,15.53,15.82,15.207341,50300,125
2016-01-27,15.79,15.79,15.4,15.48,14.88051,31100,126
2016-01-28,15.54,15.54,15.18,15.26,14.669033,24900,127
2016-01-29,15.38,15.73,15.38,15.73,15.120826,13700,128
2016-02-01,15.64,15.85,15.54,15.78,15.16889,103500,129
2016-02-02,15.71,15.71,15.35,15.41,14.813222,23700,130
2016-02-03,15.56,15.56,15.172,15.45,14.851671,34100,131
2016-02-04,15.41,15.59,15.39,15.49,14.890123,37800,132
2016-02-05,15.25,15.257,14.78,14.79,14.217229,46600,133
2016-02-08,14.56,14.56,14.01,14.22,13.669305,53700,134
2016-02-09,14.07,14.37,13.92,14.02,13.477053,154300,135
2016-02-10,14.14,14.4,14.08,14.15,13.602015,43500,136
2016-02-11,13.97,14.2,13.95,14.18,13.630856,70600,137
2016-02-12,14.135,14.26,13.97,14.23,13.678916,199300,138
2016-02-16,14.39,14.72,14.35,14.66,14.092265,35400,139
2016-02-17,14.67,15.07,14.67,15.03,14.447937,149400,140
2016-02-18,15.06,15.06,14.88,14.88,14.303748,39600,141
2016-02-19,14.75,15.05,14.75,15.04,14.457549,18800,142
2016-02-22,15.13,15.35,15.13,15.32,14.726705,50300,143
2016-02-23,15.3,15.32,15.14,15.18,14.59213,75800,144
2016-02-24,15.05,15.33,14.998,15.32,14.726705,15600,145
2016-02-25,15.29,15.669,15.273,15.57,14.967023,27700,146
2016-02-26,15.74,15.86,15.64,15.76,15.14967,15000,147
2016-02-29,15.81,15.933,15.68,15.75,15.140055,13000,148
2016-03-01,15.9,16.15,15.8,16.120001,15.495722,17200,149
2016-03-02,16.129999,16.18,16.040001,16.139999,15.514949,22600,150
2016-03-03,16.129999,16.296,16.122,16.290001,15.659141,14700,151
2016-03-04,16.379999,16.598,16.368999,16.450001,15.812943,15700,152
2016-03-07,16.389999,16.643,16.389999,16.57,15.928295,22500,153
2016-03-08,16.51,16.51,16.24,16.309999,15.678368,24300,154
2016-03-09,16.389999,16.459999,16.367001,16.43,15.79372,9400,155
2016-03-10,16.52,16.538,16.117001,16.309999,15.678368,17900,156
2016-03-11,16.496,16.67,16.462999,16.67,16.02442,16800,157
2016-03-14,16.620001,16.639999,16.524,16.615999,15.972513,22000,158
2016-03-15,16.49,16.49,16.33,16.370001,15.736043,38500,159
2016-03-16,16.26,16.59,16.26,16.57,15.928295,17000,160
2016-03-17,16.639,16.829,16.558001,16.75,16.101324,15800,161
2016-03-18,16.790001,16.969999,16.790001,16.879999,16.226292,19900,162
2016-03-21,17.280001,17.280001,16.809999,16.870001,16.216681,31800,163
2016-03-22,16.82,16.99,16.809999,16.950001,16.293585,25800,164
2016-03-23,16.83,16.84,16.469999,16.52,15.880233,37700,165
2016-03-24,16.389999,16.440001,16.24,16.440001,15.803332,21000,166
2016-03-28,16.48,16.51,16.351999,16.459999,15.822556,16400,167
2016-03-29,16.530001,16.799999,16.459999,16.75,16.101324,21800,168
2016-03-30,16.893999,16.969999,16.780001,16.9,16.245516,14100,169
2016-03-31,16.861,17.030001,16.844999,16.950001,16.293585,15900,170
2016-04-01,16.85,16.99,16.718,16.959999,16.303196,30800,171
2016-04-04,17.040001,17.149,16.959999,17.01,16.351261,20200,172
2016-04-05,16.82,16.82,16.620001,16.620001,15.976363,24900,173
2016-04-06,16.65,16.950001,16.639999,16.92,16.264746,24000,174
2016-04-07,16.790001,16.790001,16.545,16.57,15.928295,9800,175
2016-04-08,16.74,16.839001,16.530001,16.58,15.937909,37700,176
2016-04-11,16.719999,16.775999,16.426001,16.426001,15.789878,47200,177
2016-04-12,16.360001,16.360001,16.052,16.200001,15.572629,21000,178
2016-04-13,16.280001,16.66,16.280001,16.65,16.005198,16900,179
2016-04-14,16.579,16.719999,16.540001,16.620001,15.976363,44000,180
2016-04-15,16.6,16.6,16.5,16.540001,15.899466,21100,181
2016-04-18,16.5,16.719999,16.5,16.690001,16.04365,21600,182
2016-04-19,16.73,16.757999,16.5,16.610001,15.966743,36600,183
2016-04-20,16.559999,16.809999,16.52,16.690001,16.04365,31700,184
2016-04-21,16.73,16.85,16.68,16.719999,16.072487,44100,185
2016-04-22,16.73,16.950001,16.709999,16.84,16.187845,35200,186
2016-04-25,16.82,16.950001,16.809999,16.860001,16.207066,15300,187
2016-04-26,16.91,17,16.9,16.959999,16.303196,25800,188
2016-04-27,17.059999,17.32,17.059999,17.25,16.581968,49100,189
2016-04-28,17.110001,17.280001,16.879999,16.940001,16.283972,20600,190
2016-04-29,16.91,16.91,16.643999,16.799999,16.149389,23200,191
2016-05-02,16.82,16.927999,16.719999,16.91,16.255135,25300,192
2016-05-03,16.719999,16.719999,16.549999,16.620001,15.976363,37300,193
2016-05-04,16.559999,16.559999,16.351,16.4,15.764881,31100,194
2016-05-05,16.5,16.5,16.35,16.370001,15.736043,15500,195
2016-05-06,16.07,16.158001,15.861,16.1,15.476498,23900,196
2016-05-09,16.110001,16.200001,16.02,16.110001,15.486112,61400,197
2016-05-10,16.18,16.4,16.1,16.35,15.716821,32500,198
2016-05-11,16.35,16.450001,16.27,16.27,15.639915,11300,199
2016-05-12,16.379999,16.379999,16.028999,16.139999,15.514949,15400,200
2016-05-13,16.17,16.280001,16.08,16.110001,15.486112,21500,201
2016-05-16,16.18,16.423,16.18,16.377001,15.74277,14500,202
2016-05-17,16.26,16.459999,16.190001,16.200001,15.572629,24400,203
2016-05-18,16.200001,16.427999,16.200001,16.360001,15.726429,20300,204
2016-05-19,16.309999,16.523001,16.254,16.370001,15.736043,16600,205
2016-05-20,16.469999,16.656,16.469999,16.65,16.005198,68500,206
2016-05-23,16.59,16.752001,16.59,16.639999,15.995583,46300,207
2016-05-24,16.827,17.058001,16.799999,17.058001,16.3974,33700,208
2016-05-25,17.200001,17.35,17.200001,17.34,16.668476,36400,209
2016-05-26,17.35,17.41,17.299999,17.33,16.658865,9000,210
2016-05-27,17.18,17.25,17.15,17.25,16.581968,18600,211
2016-05-31,17.209999,17.42,17.209999,17.41,16.735765,36800,212
2016-06-01,17.34,17.496,17.278,17.450001,16.77422,16100,213
2016-06-02,17.41,17.731001,17.4,17.719999,17.033756,22000,214
2016-06-03,17.620001,17.690001,17.496,17.639999,16.956858,16000,215
2016-06-06,17.6,17.74,17.6,17.67,16.985695,16100,216
2016-06-07,17.74,17.790001,17.65,17.790001,17.101053,80900,217
2016-06-08,17.77,17.91,17.77,17.889999,17.197172,30800,218
2016-06-09,17.690001,17.822001,17.66,17.700001,17.01454,18800,219
2016-06-10,17.57,17.57,17.33,17.389999,16.716539,18800,220
2016-06-13,17.299999,17.478001,17.299999,17.334999,16.663668,7800,221
2016-06-14,17.35,17.42,17.200001,17.290001,16.620413,12900,222
2016-06-15,17.43,17.506001,17.365,17.365,16.692503,12700,223
2016-06-16,17.25,17.389999,17.101999,17.367001,16.694429,17900,224
2016-06-17,17.450001,17.450001,17.33,17.360001,16.687708,10300,225
2016-06-20,17.67,17.736,17.530001,17.530001,16.85112,10800,226
2016-06-21,17.66,17.790001,17.629999,17.76,17.072212,14100,227
2016-06-22,17.780001,17.780001,17.559999,17.559999,16.894228,9800,228
2016-06-23,17.76,17.98,17.76,17.950001,17.269444,19300,229
2016-06-24,17.01,17.379999,16.884001,16.969999,16.326599,66600,230
2016-06-27,16.75,16.75,16.15,16.200001,15.585793,28500,231
2016-06-28,16.440001,16.620001,16.389999,16.527,15.900392,32800,232
2016-06-29,16.700001,16.945999,16.700001,16.9,16.259249,10400,233
2016-06-30,16.950001,17.209999,16.900999,17.18,16.528635,17500,234
2016-07-01,17.17,17.32,17.15,17.245001,16.591173,21100,235
2016-07-05,17.15,17.15,16.93,17.01,16.365084,7400,236
2016-07-06,16.921,17.129,16.882,17.120001,16.470905,11300,237
2016-07-07,17.09,17.27,17.09,17.110001,16.461285,27000,238
2016-07-08,17.360001,17.648001,17.341,17.6,16.932713,22100,239
2016-07-11,17.790001,17.879999,17.790001,17.85,17.173233,14500,240
2016-07-12,17.860001,17.950001,17.76,17.889999,17.21171,22000,241
2016-07-13,17.870001,17.969999,17.85,17.85,17.173233,20600,242
2016-07-14,17.91,17.989,17.85,17.85,17.173233,23900,243
2016-07-15,17.870001,17.914,17.790001,17.82,17.144371,11500,244
2016-07-18,17.91,17.989,17.84,17.893999,17.215561,14500,245
2016-07-19,17.950001,18,17.879999,17.926001,17.246351,74300,246
2016-07-20,17.975,18.18,17.975,18.18,17.490717,19100,247
2016-07-21,18.26,18.26,17.91,17.99,17.307919,16600,248
2016-07-22,18.09,18.280001,18.030001,18.23,17.538822,16200,249
2016-07-25,18.200001,18.388,18.200001,18.34,17.644655,17100,250
2016-07-26,18.473,18.48,18.348,18.455,17.755285,10000,251
2016-07-27,18.41,18.41,18.209999,18.35,17.65427,50500,252
2016-07-28,18.200001,18.440001,18.200001,18.384001,17.686987,33500,253
2016-07-29,18.27,18.358999,18.17,18.358999,17.66293,14200,254
2016-08-01,18.24,18.4,18.218,18.250999,17.559023,10700,255
2016-08-02,18.209999,18.212999,17.959999,18.059999,17.375269,24500,256
2016-08-03,18.01,18.143,18.01,18.143,17.45512,39000,257
2016-08-04,18.190001,18.23,18.129999,18.129999,17.442612,41400,258
2016-08-05,17.9,18.32,17.9,18.27,17.577311,22300,259
2016-08-08,18.18,18.290001,18.18,18.184,17.494566,14400,260
2016-08-09,18.27,18.309999,18.221001,18.26,17.56769,15400,261
2016-08-10,18.24,18.24,18.129999,18.184,17.494566,40100,262
2016-08-11,18.18,18.35,18.18,18.32,17.625408,22600,263
2016-08-12,18.34,18.358999,18.285999,18.358999,17.66293,19200,264
2016-08-15,18.360001,18.6,18.360001,18.540001,17.837067,51600,265
2016-08-16,18.620001,18.639999,18.5,18.6,17.894796,19700,266
2016-08-17,18.549999,18.549999,18.370001,18.48,17.779337,25300,267
2016-08-18,18.5,18.66,18.5,18.629999,17.923656,15300,268
2016-08-19,18.52,18.76,18.52,18.75,18.03911,106000,269
2016-08-22,18.74,18.76,18.66,18.75,18.03911,20500,270
2016-08-23,18.9,18.99,18.9,18.99,18.270008,26300,271
2016-08-24,18.889999,18.98,18.780001,18.83,18.116076,20700,272
2016-08-25,18.870001,18.870001,18.799999,18.84,18.125692,9200,273
2016-08-26,18.940001,18.965,18.709999,18.84,18.125692,15300,274
2016-08-29,18.879999,19.030001,18.879999,18.969999,18.250769,21100,275
2016-08-30,18.91,19.028,18.85,18.9,18.183424,27800,276
2016-08-31,18.700001,18.791,18.66,18.780001,18.067972,10200,277
2016-09-01,18.907,19.08,18.85,19.049999,18.327728,45700,278
2016-09-02,19.200001,19.34,19.18,19.34,18.606743,20900,279
2016-09-06,19.33,19.440001,19.33,19.389999,18.654844,13100,280
2016-09-07,19.469999,19.538,19.35,19.371,18.636562,33400,281
2016-09-08,19.370001,19.429001,19.329,19.34,18.606743,11300,282
2016-09-09,19.27,19.27,18.91,19.011999,18.291178,53700,283
2016-09-12,18.799999,19.146,18.799999,19.129,18.403736,18100,284
2016-09-13,18.98,19.018999,18.809999,18.902,18.185345,51900,285
2016-09-14,18.871,19.040001,18.83,18.893,18.176689,8000,286
2016-09-15,18.927,19.09,18.875999,19.049999,18.327728,13100,287
2016-09-16,19.1,19.1,18.903999,18.969999,18.250769,30100,288
2016-09-19,19.120001,19.24,19.063,19.118999,18.394121,22100,289
2016-09-20,19.24,19.24,18.990999,19.07,18.346979,8100,290
2016-09-21,19.059999,19.273001,19.059999,19.273001,18.54812,21800,291
2016-09-22,19.25,19.5,19.25,19.450001,18.71846,40100,292
2016-09-23,19.6,19.6,19.431999,19.48,18.747332,13300,293
2016-09-26,19.469999,19.469999,19.26,19.290001,18.564478,17400,294
2016-09-27,19.35,19.472,19.27,19.451,18.719419,21500,295
2016-09-28,19.379999,19.58,19.379999,19.58,18.843567,29500,296
2016-09-29,19.58,19.58,19.344,19.549,18.81373,29300,297
2016-09-30,19.6,19.823,19.6,19.82,19.074541,38800,298
2016-10-03,19.870001,19.870001,19.672001,19.780001,19.036049,49200,299
2016-10-04,19.879999,19.879999,19.73,19.790001,19.045675,28900,300
2016-10-05,19.870001,20.040001,19.805,19.93,19.180403,61100,301
2016-10-06,19.969999,19.969999,19.701,19.790001,19.045675,59800,302
2016-10-07,19.9,19.9,19.580999,19.690001,18.949438,23700,303
2016-10-10,19.790001,19.84,19.68,19.709999,18.968679,15900,304
